Ano,Produção Incremental (bpd),Produção Anual (barris),Preço do Petróleo (US$/barril),Receita Bruta (US$),Royalties (US$),Receita Líquida (US$),Investimentos (US$),Custos Fixos (US$),Custos Variáveis (US$),Custo Polímero (US$),Custos Operacionais Totais (US$),Depreciação (US$),Lucro Antes de Impostos (US$),Impostos (US$),Lucro Líquido (US$),Fluxo de Caixa (US$),Fator de Desconto,Fluxo de Caixa Descontado (US$),Fluxo de Caixa Acumulado (US$),Fluxo de Caixa Descontado Acumulado (US$)
0,0.0,0.0,70.0,0.0,0.0,0.0,20000000,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-20000000.0,1.0,-20000000.0,-20000000.0,-20000000.0
1,500.0,182500.0,70.7,11612475.0,1161247.5,10451227.5,15000000,3000000,1460000.0,766500.0,5226500.0,3600000,1624727.5,552407.3500000001,1072320.15,-10327679.85,0.8928571428571428,-9221142.723214285,-30327679.85,-29221142.723214284
2,1200.0,438000.0,71.407,28148639.400000002,2814863.9400000004,25333775.46,10000000,3000000,3504000.0,1839600.0,8343600.0,3600000,13390175.46,4552659.656400001,8837515.8036,2437515.8036,0.7971938775510203,1943172.6750637756,-27890164.046400003,-27277970.04815051
3,1800.0,657000.0,72.12107,42645188.691,4264518.8691,38380669.8219,2000000,3000000,5256000.0,2759400.0,11015400.0,3600000,23765269.821900003,8080191.739446001,15685078.082454002,17285078.082454003,0.7117802478134109,12303177.161003267,-10605085.963946,-14974792.887147242
4,2000.0,730000.0,72.8422807,47857378.41990001,4785737.841990001,43071640.577910006,0,3000000,5840000.0,3066000.0,11906000.0,4000000,27165640.577910006,9236317.796489403,17929322.781420603,21929322.781420603,0.6355180784048311,13936481.074767707,11324236.817474604,-1038311.8123795353
5,1900.0,693500.0,73.570703507,45919154.59389405,4591915.459389405,41327239.134504646,0,3000000,5548000.0,2912700.0,11460700.0,4000000,25866539.134504646,8794623.30573158,17071915.828773066,21071915.828773066,0.5674268557185992,11956770.942687681,32396152.64624767,10918459.130308146
6,1805.0,658825.0,74.30641054207001,44059428.83284135,4405942.883284136,39653485.949557215,2000000,3000000,5270600.0,2767065.0,11037665.0,4000000,24615820.949557215,8369379.122849453,16246441.826707762,18246441.82670776,0.5066311211773206,9244215.28016171,50642594.472955436,20162674.410469856
7,1714.75,625883.75,75.0494746474907,42275021.96511126,4227502.196511126,38047519.768600136,0,3000000,5007070.0,2628711.75,10635781.75,4400000,23011738.018600136,7823990.926324047,15187747.092276089,19587747.09227609,0.4523492153368934,8860502.027408604,70230341.56523153,29023176.43787846
8,1629.0124999999998,594589.5624999999,75.79996939396561,40562883.575524256,4056288.357552426,36506595.21797183,5000000,3000000,4756716.499999999,2497276.1624999996,10253992.662499998,4400000,21852602.555471834,7429884.868860424,14422717.68661141,13822717.68661141,0.40388322797936904,5582763.838716133,84053059.25184295,34605940.276594594
9,1547.5618749999996,564860.0843749999,76.55796908790526,38920086.79071552,3892008.6790715526,35028078.11164397,2000000,3000000,4518880.674999999,2372412.3543749996,9891293.029374998,5000000,20136785.082268972,6846506.927971451,13290278.154297521,16290278.154297523,0.36061002498157946,5874437.612178108,100343337.40614048,40480377.8887727
10,1470.1837812499996,536617.0801562498,77.32354877878431,37343823.27569154,3734382.327569154,33609440.94812238,0,3000000,4292936.6412499985,2253791.7366562495,9546728.377906248,5400000,18662712.570216134,6345322.273873486,12317390.296342649,17717390.29634265,0.32197323659069593,5704525.497654032,118060727.70248312,46184903.38642673
11,1396.6745921874995,509786.2261484373,78.09678426657216,35831398.43302602,3583139.8433026024,32248258.58972342,0,3000000,4078289.8091874984,2141102.149823437,9219391.959010934,1800000,21228866.630712487,7217814.654442246,14011051.97627024,15811051.97627024,0.2874761040988356,4545299.623842364,133871779.67875336,50730203.0102691
12,1326.8408625781244,484296.9148410154,78.87775210923789,34380226.79648848,3438022.6796488483,30942204.116839632,2000000,3000000,3874375.3187281233,2034047.0423322648,8908422.361060388,1400000,20633781.755779244,7015485.796964943,13618295.9588143,13018295.9588143,0.25667509294538887,3341472.325219241,146890075.63756767,54071675.33548834
13,1260.4988194492182,460082.0690989646,79.66652963033026,32987827.61123069,3298782.761123069,29689044.85010762,0,3000000,3680656.552791717,1932344.6902156514,8613001.243007367,1800000,19276043.607100256,6553854.826414088,12722188.780686168,14522188.780686168,0.2291741901298115,3328110.8527259873,161412264.41825384,57399786.18821433
14,1197.4738784767574,437077.96564401645,80.46319492663358,31651820.592975855,3165182.059297586,28486638.53367827,0,3000000,3496623.7251521316,1835727.4557048692,8332351.180857001,800000,19354287.35282127,6580457.699959232,12773829.652862037,13573829.652862037,0.20461981261590312,2777474.480048819,174986094.07111588,60177260.66826315
15,1137.6001845529195,415224.0673618156,81.26782687589991,30369921.85896033,3036992.1858960334,27332929.6730643,2000000,3000000,3321792.538894525,1743941.0829196256,8065733.62181415,400000,18867196.05125015,6414846.657425051,12452349.393825099,10852349.393825099,0.1826962612641992,1982683.660184644,185838443.46494097,62159944.3284478
